,Unnamed: 0_x,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots,Unnamed: 0_y,release_date,price,rating
0,0,1-2-Switch,/wiki/1-2-Switch,Party,Nintendo EPD,Nintendo,"March 3, 2017"," 1-2-Switch is a party game in which players do not usually rely on what is happening on-screen, but rather make use of audio cues and the functionality of the Switch's Joy-Con controllers to play in several different games. It features 28 different minigames, most of which involve two players, who each use one of the Joy-Con controllers and are often encouraged to look at each other during gameplay. Aside from tutorial videos for each game, players mostly rely solely on audio cues and feedback from the Joy-Con's rumble feature to indicate how well they are performing.  ",,,,
1,1,10 Second Ninja X,/wiki/10_Second_Ninja_X,Action platformer,Four Circle Interactive,Thalamus Digital,"July 30, 2021"," 10 Second Ninja X is a sidescrolling puzzle platformer. The game follows a ninja who must destroy robots at high pace within a set time frame of 10 seconds. Every level is set with a timer, with the player having to finish the level within 10 seconds. The player has several attacks, including a projectile, that has limited capacity. Each level finishes when the player has destroyed all targets onscreen. The game features different star ratings for completed levels, with higher stars given for completing the missions in faster times.  ",,,,
2,2,13 Sentinels Aegis Rim,/wiki/13_Sentinels_Aegis_Rim,Adventure,Vanillaware,Atlus,"April 12, 2022"," 13 Sentinels: Aegis Rim is a video game where players take control of thirteen different characters, who interact with each other to build a larger narrative. The gameplay is split into three sections. They are Remembrance, with exploration and dialogue taking priority and advancing the narrative; Destruction, where characters equip mecha and engage in battles against enemies called Kaiju; and Analysis, a glossary which documents event scenes and important items and characters.  During the adventure game-style Remembrance segments, the player explores two-dimensional (2D) side-scrolling environments, interacting with elements of those environments in a non-linear manner. Several elements move in real-time regardless of the player's actions, and choices can be made which alter the outcome of some scenes. Keywords spoken by characters and obtained items are added to a Thought Cloud database, which can be accessed to trigger both internal monologues and initiate new dialogue. Once learned, keywords are carried over into other earlier or parallel scenes, which in turn unlock further story routes and options. The character stories are tracked with a flowchart, with players able to jump between scenes to try different keywords from the Thought Cloud. If a wrong choice is made during one section, the game rewinds back to the beginning of the day so players can select the right choice. To reach that point faster, events the player has already seen can be fast forwarded.  The battle system of the Destruction mode takes the form of a real-time strategy scenario, with up to six chosen characters using Sentinels to fight off waves of Kaiju defending a terminal. The terminal's health is determined by which units are in place, and if all units are defeated, the hub is overwhelmed and the game ends. can be paused, allowing for Sentinels to be moved and actions such as combat and support abilities to be carried out. The section is completed when the hub is successfully defended against all waves. Battles pit Sentinels against Kaiju with differing strengths and abilities such as flight or extra defense, requiring one of the four Sentinel types; some Sentinels are strong against flying enemies, while others do better against large ground-based forces. They also have different attack ranges and movement speeds. Sentinels have at least one basic attack that costs nothing, and additional abilities that cost a resource called EP; EP can be recovered by defending. After acting, each Sentinel has a cooldown timer before it can act again. Damage can be repaired by Sentinel pilots, but this requires leaving the Sentinel and leaving them vulnerable to attack. The player can also trigger limited-use ""Terminal Commands"", special field-wide abilities such as an EMP which use up a dedicated energy gauge. Characters level up with experience points and gain passive bonus effects, while Sentinel abilities and attributes can be raised using Meta-chips gained during battles.  Analysis takes the form of an index where event scenes and information on people, items and concepts are archived. Mystery Points, earned through Destruction mode, are used to unlock new index entries in Analysis. As the player advances, character narratives are locked off until something else has taken place in another section of the game. These unlock conditions can include unlocking entries in Analysis, advancing stories in Remembrance, or tackling particular battles in Destruction.  ",,,,
3,3,140,/wiki/140_(video_game),Action,Carlsen Games,Carlsen Games,"January 9, 2020"," As described by Carlsen, 140 is ""an old school platformer"", but where the challenge is ""in syncing up your moves and jumps to the music-controlled elements""; as the player progresses through a level, the music will change to reflect the difficulty of the platforming elements. The player controls a geometric shape—a square when stationary, a circle when moving, and a triangle when jumping—across a two-dimensional environment made up of other simple geometric shapes, with the objective being to reach the end of the course. Along the way the player will need to collect floating colored balls that, when placed in a semicircular fixture on the ground, activate a new type of platforming obstacle that allows the player to continue. These activations have the effects of changing the color palette of the level and adding a new element to the music to which the new obstacle is synchronized.  Various obstacles and enemies, represented by geometric shapes, test the player's skills, and should the shape fall or be hit by one of the shapes filled with white noise, they will need to restart at the last checkpoint they passed. All of these obstacles and enemies have actions that are synchronized to the music, aiding the player in moving through the course; platforms that move or appear and disappear will do so on the beat, while enemies will fire in time to the music.  ",,,,
5,5,198X,/wiki/198X,Arcade,Hi-Bit Studios,JP,"January 23, 2020"," In an introductory sequence entitled Beating Heart that plays like a side-scrolling beat 'em up, the teenage protagonist fights their way from the subway station and through the streets of the unnamed city in which they live until they reach a hospital where they are attacked by a hooded figure with glowing red eyes.  Set in the 1980s, the game follows the Kid, the teenager from the introduction, who feels stuck in their childhood home in ""sleepy suburbia"" as they wait for their life to ""move forward"". One night, as the Kid wanders the streets of their unnamed city looking for anything to ""make my heart skip a beat again"", they stumble across an abandoned factory that was built ""long before"" the protagonist was born and now houses an arcade. Wondering if they found a place where they can fit in, they start playing a horizontally scrolling space shooter entitled ""Out of the Void"". Feeling disconnected at school, the Kid's mind frequently returns to the arcade where they were ""on an asteroid somewhere fighting space invaders."" The only person they notice in school is ""her"", a ""punk rocker from the south district"" whose freedom the Kid admires. The story then cuts to the Kid playing an arcade racing game entitled ""The Runaway"". During ""The Runaway""'s second stage, the Kid explains that they've started to spend every night at the arcade, where every game they mastered made them ""stronger"" and ""more confident"". One evening, the Kid reminisces about their childhood and how ""anything was possible"" back then before ""everyone got brainwashed"" in high school. They then mention how as a kid, ""shadows seem darker and more terrifying"" yet ""more exciting"" at the same time. The game then transitions to a ninja video game called ""Shadowplay"". That night, while walking to the arcade, the Kid reveals that their parents split up due to an incident involving the Kid's father.   They also mention that night was when ""everything changed"" at the arcade before 198X transitions into a role-playing video game entitled ""Kill Screen"" where the player has to defeat 3 dragons in order to solve a maze before fighting the unwinnable SHODAN-like final boss. Afterwards the Kid is seen sitting outside the arcade in the rain mentioning everything ""was still there"" but that ""nothing was the same"". Characters from 198X's various games begin to materialize around the Kid, with them concluding that the ""game was not over"".  ",,,,
7,7,20XX,/wiki/20XX_(video_game),Platformer,Batterystaple Games,Batterystaple Games,"July 10, 2018"," Inspired by Mega Man X, players must defeat enemies and complete difficult platforming challenges to finish a stage. The twist is that these stages are generated randomly based on level segments, or ""chunks"", and allow for both local and online co-op. Rather than giving several lives, the game has permadeath, but is a ""roguelite"" in that the player can use Soul Chips earned during the level to unlock new types of passive upgrades to buy, and gain upgrades for the next attempt of that particular run.  During levels players can use bolts gained as currency to buy passive upgrades, or to gain back health or energy in vending machines. They can find upgrades in treasure chests and other places. Upon beating a boss the player can choose to take their power as a reward, granting them a new special ability, or take a reward of bolts or a random passive upgrade instead.   The game follows Nina, an armored girl armed with a power blaster, and Ace, an armored boy who has an energy sword, in the aftermath of a robotic uprising.  Traveling from their base on the Ark, a space station orbiting the Earth, they have been hired to clear dangerous locations that are infested with robots that have run amok.  ",,,,
8,8,The 25th Ward The Silver Case,/wiki/The_25th_Ward_The_Silver_Case,Adventure,Grasshopper Manufacture,Playism,"February 18, 2021"," The 25th Ward: The Silver Case is an adventure game in which players take on the role of different characters while navigating three scenarios. In the original mobile game, players read through story segments before issuing commands that advance the story. The original version released for mobiles used number inputs.  ",,,,
9,9,60 Seconds!,/wiki/60_Seconds!,Adventure,Robot Gentleman,Robot Gentleman,"December 18, 2017"," 60 Seconds! takes place in the United States during the 1950s. The game follows the McDoodle family (Ted, Dolores, Mary Jane, and Timmy) as they try to survive the effects of a nuclear apocalypse for as long as possible.  First, the player has the titular 60 seconds to acquire whatever supplies, family members, and diversional items (e.g. a checkers set), and bring them to an underground shelter beneath their house, including the family member they initially control, before a nuclear bomb is dropped on the neighborhood and detonates. Failure to do so affects the flow of the gameplay.  Each day, the player must make decisions for the family based on supplies available, limited information, or ability of family members. Some of these entail risks, and may result in poor health or even death of one or all of the family members.  For consumable supplies, the player must ration their usage, such as food and water among the family members, based on how much they initially acquired, their overall health, and their need for it. The player must also be cautious about the mental state of the family members, as the isolation of the shelter affects the gameplay as well. (e.g. Ted will turn one of his socks into a puppet and begin talking to it as if it was a person.)  At times, a character may be required to leave the shelter to scavenge for supplies and food. Again, this entails risk, as a family member may fall ill from the radiation outside, or may not come back because of an event resulting in the character's death.  Other times, a knock may be heard at the hatch of the underground shelter, and the player must make a decision on whether to ignore it, or open the hatch to allow whoever or whatever is there to interact with the characters. Depending on the event, this may result in a possible trade between the McDoodles and other affected families, or a shelter raid where supplies are stolen, or a mutant entering the shelter and mutating the family, ending the game.  If the player makes a decision at the right time, then there is the possibility of the U.S. Army coming to rescue the family, successfully ending the game.  ",,,,
10,10,6180 the moon,/wiki/6180_the_moon,Platformer,"Turtle Cream, PokPoong Games",Turtle Cream,"May 24, 2018"," The player controls the Moon, shown as a simple white circle. The Moon only has the ability to jump and move left and right, however, the tops and the bottom of the level boundaries loop, giving the player more options to tackle the platforming challenges the game presents. The goal of each level is to get from the starting point to the exit block. Every level is grouped into a certain ""world"" each of which is based on a planet (it also includes the Sun), with each world having a different thematic mechanic.   The Moon prepares to set and allow the Sun to rise, however, the Moon notices the Sun is missing. The Moon then begins a journey to find the Sun, and tell him to come back to Earth. On the way, the Moon talks to each of the planets, who give their opinions or advice on the situation. At the end, the Sun tells the Moon that he never left, and the Moon begins the journey back.  ",,,,
11,11,7 Billion Humans,/wiki/7_Billion_Humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"October 25, 2018"," Similar to Human Resource Machine, players are tasked with over 60 programming puzzles, typically involving the movement of numerical data cubes by human workers. For example, a task might ask the player to program the humans to sort the numbers on data cubes in order. The programming language is similar to assembly language, allowing for simple loops, logic, memory storage and calculations. As with its predecessor, the code can be edited in a textual form by copying-and-pasting.  The same program is used to control all humans simultaneously, while allowing each human to follow its individual logic through the project based on their current state, such as moving left or right based on comparing the value of the data cube they are holding. The humans will run through the program until either the program solution is met, or all the humans reach the end of the program and the problem solution is not met, in which case the player must rework the program. The player is able to step through the program and select any individual human to watch their progress through the program for debugging purposes.  Once a player achieves a working solution for a given problem, the game will then simulate 25 additional cases where random factors (such as values of data cubes) change, which might cause a program to fail and require the player to account for that. Otherwise, the player is then ranked on the number of program steps they have, and the number of seconds (cycles) it takes for the program to complete, measured against average marks determined by Tomorrow Corporation. Most levels provide two optional challenges, to beat the average steps and average seconds with optimization of their program; these are sometimes diametric goals and do not need to be completed within the same program. Other puzzles are fully optional, requiring more advanced techniques to solve.  ",,,,
12,12,80 Days,/wiki/80_Days_(2014_video_game),Adventure,inkle,inkle,"October 1, 2019","and gameplay  The plot is loosely based on Jules Verne's 1873 novel Around the World in Eighty Days. The year is 1872 and Monsieur Phileas Fogg has placed a wager at the Reform Club that he can circumnavigate the world in eighty days or less. The game follows the course of this adventure, as narrated by Phileas Fogg's manservant Passepartout, whose actions and decisions are controlled by the player.  After leaving London on an underwater train to Paris or a mail carriage to Cambridge, the player can choose their own route around the world, travelling from city to city. Each city and journey contains unique narrative content. The developers estimate that on one complete circumnavigation of the globe players will see approximately 2% of the game's 750,000 words of textual content.  In their role as valet, the player must manage their finances, their master's health, and time, as well as buying and selling items in different markets around the globe. The choices made by the player in story sections can also have a large impact on how the journey proceeds.  The game has several secrets, easter eggs and hidden endings, as well as several references to Verne's works, including Twenty Thousand Leagues Under the Sea and From the Earth to the Moon. The game is partly inspired by the steampunk genre, featuring such elements as sapient mechanical transport, hovercraft, submersibles and a city that walks on four gigantic legs.  ",,,,
13,13,9 Monkeys of Shaolin,/wiki/9_Monkeys_of_Shaolin,Beat 'em up,Sobaka Studio,JP,"October 16, 2020"," There are five enemy clans in the in Wokou in the game, one for each chapter. Each clan leader wears a mask from the Japanese Noh theatre, which reflects their personality. The leaders' names are pseudonyms taken from the mask names.  At the end of each mission, the player gets improvement points that can be spent in the camp of the teaching monk. A conversation with him will bring up a single branched technique tree, in which the main improvement subject are different combinations and techniques for each of the three stands.  Multiplayer is available as a co-op mode of the same story campaign as in single-player mode. Two players can participate in the co-op mode, either online or on a local area network.   China, Year of the Water Monkey (1572). The hero of the game is a fisherman called Wei Cheng (voiced by Daisuke Tsuji). His parents died at the hands of the Wokou when he was a child. Wei Cheng was taken in by his grandfather, who taught him the fishing business, as well as how to fight with a staff, with this knowledge being passed down from generation to generation in their family.   The game begins when the village is attacked by bandits. Grandfather was killed and Wei was badly wounded by their leader in a red mask. Buddhist monks find Wei Cheng bleeding and carry him to one of the local fortified houses. The hero regains consciousness and finds monks standing in front of him. They say that the village has been completely destroyed, there are almost no survivors, and that there were no ordinary bandits but the Wokou. Their group was sent from Shaolin to help defend both the Buddhist monasteries and the ordinary people but they did not get there in time. Wei Cheng offers to help seven monks and one smuggler.   In cooperation mode the second player is the youngest of monks called Daoshan.  ",,,,
15,15,99Vidas,/wiki/99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,"November 27, 2018"," 99Vidas is a side-scrolling beat 'em up initially featuring six playable characters. Five more unlocked through multiple play sessions, bringing the total number of playable characters to 11. It features cooperative and competitive game modes, for up to four players, which can be played either locally or online.  Each character has unique attributes such as speed and strength, as well as an elemental alignment (fire, water, wind, lightning, et al.), which dictates the quality of their attacks, combos and special moves. Characters gain experience points by defeating enemies and collecting special items which can then be used by the player to upgrade their abilities and combos, or to unlock new ones.  The campaign and survival modes can be played solo or by up to four players cooperatively. In campaign mode, players progress through the story together, while in survival, they face unending waves of enemies, with a limited number of lives and ever-increasing difficulty, the objective being attaining high scores, which are posted to an arcade-style leaderboard. In versus mode, two to four players can play head-to-head competitive matches, where the last one standing wins.   99Vidas is set in an anachronistic fictional universe inspired by 1980s and 1990s pop culture and video game aesthetic. The story starts as an artifact known as 99Vidas goes missing. This artifact is believed to hold such great power it is a menace to the very existence of the universe, should it ever fall into the wrong hands. Players play as ""guardians"" of 99Vidas, heroes with elemental powers whose duty it is to protect the artifact.  ",,,,
17,17,Aaero,/wiki/Aaero,Action,Mad Fellows,JP,"December 24, 2018"," The basic controls are that of a twin-stick shooter, the left stick controlling the ship while the right controls targeting.  Mike Fahey of Kotaku says: ""Aaero sees players navigating through alien environments in a futuristic flying craft. As the music plays, ribbons of light bend and twist in the air, visualizing aspects of the song. Sometimes it's vocals. Sometimes it's strange electronic wails. Using the left analog stick (required even in the PC version), players must grind against those ribbons in order to absorb the energy of the music.""  He goes on to describe the shooting element of the gameplay: ""The game's tunnel-like environments warp and twist to impede the player, each new level bringing unique obstacles and traps into play. Odd mechanical enemies attack from time to time, with the game employing a target lock and fire mechanic using a combination of right analog and trigger.""  In his review for Forbes, Mitch Wallace describes the gameplay: ""The general on-rail, twin-stick shooting setup is deceptively simple: Pilot a nondescript spaceship through various alien and possibly post-apocalyptic stages, gunning down enemies and tracing ribbons of light as you go.""  ",,,,
18,18,Absolute Drift,/wiki/Absolute_Drift,Racing,Funselektor Labs,Funselektor Labs,"December 3, 2020"," Absolute Drift features 5 free roam areas and 34 tracks. In the free roam areas, there are various objectives for the player to complete which unlock more levels and cars. The tracks also have objectives to complete, including gaining points in a drift-based scoring system.  ",59.0,3rd Dec 2020,£8.99,6.78
19,19,Abyss of the Sacrifice,/wiki/Abyss_of_the_Sacrifice,Adventure,Intense,D3 Publisher,"December 17, 2020"," Abyss of the Sacrifice has two modes of gameplay. The first mode requires little interaction on the player's part as much of the player's time will be spent on reading the text that appears on the game's screen. These lines of text represents either the inner thoughts of the characters or the conversation the characters are having with one another. After a stage has been completed, the player will be presented with a screen displaying the possible stages that the player can advance to. Stages that have been completed will be highlighted in blue whereas those that have not been played will be in orange. Each row of stages has a character's name attached to it which will determine which character will be the main character. As stages are completed, more stages will become available. The ending of the game will differ based on the stages that have been selected.  The second mode is more closely connected to adventure games. The player is tasked with the need to investigate different scenes to find clues and items. It is even possible to combine items together to create new items. The player will then try to solve the puzzles in the game using the information and items they have acquired.   ",63.0,17th Dec 2020,£35.99,3.33
20,20,Abzû,/wiki/Abz%C3%BB,Adventure,Giant Squid Studios,505 Games,"November 29, 2018"," In Abzû, the player takes on the role of a diver in a vast ocean—after waking up floating on the ocean's surface, the diver begins exploring the surrounding underwater environments filled with plant and animal life, in addition to uncovering ancient technology and submerged ruins. In a few areas, the diver is also able to explore land-based environments above the water. As the game progresses, the diver unlocks new areas and pursues the secrets behind the forces harming the local environment. The diver's course through the game follows a linear path through interconnected areas filled with marine life. The player directs the diver through the environments using full analogue control, able to interact with the environment to solve switch or item-based puzzles, and the ability to meditate which grants the character the ability to sit on the shark-shaped pedestals within each area to observe the surrounding sea life. The diver can accelerate, and interact with marine life using sonar chimes. The diver can grab onto the bodies of larger marine animals and ride on them. Each area sports hidden collectables for the diver to find.  ",,,,
